study_id,room_id,startTs,endTs,capacity
b944f29c-7e4f-45fd-9e5a-9c28aa08df55,454b4f99-83cc-5af8-ba1e-93460dd20794,2025-09-14T19:30:00,2025-09-14T20:46:00,13
b548ead5-a3fc-45b9-a29d-5e26d26008e5,08d2592d-05d5-5385-895f-d5d22c01d9db,2025-11-19T09:45:00,2025-11-19T10:34:00,13
5dda33ab-51ce-4cb3-b993-2c4f124c148b,384e5b82-57d0-5dbd-a349-da49bcaeb3d1,2025-10-10T16:00:00,2025-10-10T17:56:00,12
7032d510-9973-4ea9-af2a-77c7f37dda90,a4442f24-1324-560e-af12-b33f35f3b114,2025-11-19T14:15:00,2025-11-19T15:57:00,23
59e42ed4-39f2-4281-8aee-4f023bd27eff,aa07fb90-dbae-59f0-abb4-0043bdc2c753,2025-10-01T19:45:00,2025-10-01T21:13:00,77
ca3f4e07-5833-47a5-a114-f16a217ac0ec,722750c1-c2fa-5d8c-b128-67fa66e2d9dc,2025-10-24T09:00:00,2025-10-24T10:33:00,30
d7d46048-4817-4fb4-82eb-badc9860682e,337bffd2-f050-5f32-8d9f-12e2908b3a22,2025-10-14T08:45:00,2025-10-14T10:38:00,9
72f45d92-97ed-4293-a25a-b335a7d448b4,0830dcf6-6370-5a67-a6d6-99d2adbe0e8a,2025-09-21T16:30:00,2025-09-21T18:01:00,153
720b962f-4e65-4902-bd9c-a8e2d08536dd,172f7e60-90d4-52d8-93c1-19d7f4b55ce9,2025-09-19T08:15:00,2025-09-19T09:37:00,16
2d35eef7-f372-4dbb-ad20-af079d57083d,ef390c98-e0f4-5c08-a128-4fc1dfc49cd1,2025-09-23T14:30:00,2025-09-23T16:13:00,17
c53077bc-15bd-4f7c-a1a7-36ad74feff02,fa264ebc-deab-5c5f-bee8-ff663ce5adcf,2025-10-26T11:30:00,2025-10-26T12:24:00,83
f5dd51c3-4db6-4b85-87d3-83d5dc74c3cc,0b011c5f-9913-5421-8583-795de9fe5545,2025-11-18T19:15:00,2025-11-18T20:20:00,13
47df0803-f9d7-439f-a620-491a35eb4a66,934a35df-d7ac-5ffd-aa79-3b92bbfcce9b,2025-10-09T18:30:00,2025-10-09T19:22:00,9
e7122097-f0d0-4fbc-b2e3-b006d498ed31,4ce172d3-1dcd-54b8-8adc-3fd004547bcd,2025-10-21T14:30:00,2025-10-21T15:23:00,12
cbcda236-2f12-4547-ac36-f5665e1768c1,d2ad163c-6e0f-51d1-8680-828fd4d173ae,2025-10-21T11:45:00,2025-10-21T13:20:00,20
