participant_id,session_id,amount,method,status
3a5353f6-cf71-43d0-94cd-37204d2fc114,c56f8abf-2b2e-5daa-85be-5dc1155b22b9,25,gift_card,pending
dbaeaa23-1a5c-4e8a-9542-69230614cf7e,5c4e1636-ac1e-592f-9361-27921327f1b3,25,paypal,pending
3e87e72a-c79c-446d-a7c7-b552f9be9cd4,caa61f92-f77f-53d7-a9b9-923e46416285,10,gift_card,paid
b272cc8f-9800-43bd-b6aa-e2d136aa836f,87b2f2b8-fc8e-598f-8999-908d1ee34c5b,10,gift_card,pending
e093f935-ed8e-4c63-b483-61b22a5186db,869d96a3-73f4-56c3-b216-b81bc84ee08d,20,gift_card,pending
360a8a83-d60e-4011-b75a-0cfa15b7b658,751fed58-9751-568f-b73f-87eec0abf6b9,10,paypal,pending
f8295e65-6268-4616-a865-0da15e0c5ed3,d625b8df-201a-5de5-9af6-bc59ec30f9de,15,gift_card,pending
8e204db1-d166-4173-902a-a2614e4775d5,527cb4bd-0a3b-5e8d-8ce5-1c706544effb,20,gift_card,pending
1bb7443f-6db3-4ada-9805-b7415aac9a32,066dc7f6-1efc-5772-b9af-17c722205086,30,credit_card,pending
f83649d1-035c-4efc-a676-897b5a45eacb,c97849a0-ee18-5e65-ad45-0a80e2560f56,40,gift_card,pending
899f55da-cc37-4872-8b1a-8a22cc9f2011,74333b32-08d4-57e4-80d7-a4d3d9b542ec,25,paypal,pending
7f5118d9-aa5f-46cb-999a-ad99690a376a,54167562-b1c3-5618-b317-1f661936f4e3,10,credit_card,pending
15731293-874f-4b95-b2f5-60ccc87f6360,b0be319d-7969-553a-8413-8a2c06503d8f,0,none,waived
a922c54e-c0f8-4286-ba4f-b47377bccf40,277480c9-1242-58fa-a47f-4e6ffdb02708,20,paypal,pending
0a2bb09e-19fe-4eec-8f82-87f6648104f7,a2eec7a5-0fd0-5514-9039-aaeeff84c295,15,gift_card,paid
5b0f02d5-4b30-4a0a-8c29-67c01d84dc31,9657c652-4add-51ba-8cae-05854ddb00a2,25,gift_card,pending
55132a3a-5e42-4816-b4d3-e2e25617f8e8,d67d7c92-a6b1-5fee-b95e-84c9351b2672,20,gift_card,pending
8bc96e1b-0e08-4c63-a6c6-afd9225aa486,68484397-c824-535e-8546-0571f289b20f,15,gift_card,pending
b3e1bd43-cf81-4b60-b54d-80a193acb067,e4fe46da-5044-5d0f-8276-b7d1eda0668f,0,none,waived
b029e2ec-3cb3-49c3-bb82-d51440244d8b,6baf0bf2-e53b-5cd5-85f5-a2fab471a7be,20,gift_card,pending
c8c03cc8-a066-47ff-bbcc-1c8b586c213d,090fe9d5-e0ca-56d4-b96e-11969472fc51,15,credit_card,paid
a68c8971-e168-44e0-aa1b-d2c355d489e6,0c35f3a9-917d-5418-bb28-c1abefd25f67,25,gift_card,paid
c8b14f06-042a-4bef-bfb0-44e4cf71db70,0fac7442-d928-5f72-8173-4120d6bec28f,20,credit_card,pending
6b64c042-2c81-464c-aca3-2206a6133df7,626f1670-75d0-5aa6-8932-94f8e699a444,20,gift_card,pending
3af1cba9-64c4-4828-ab3e-d0ec927b262b,b0018c3e-e65b-5458-ae38-774d499a2f51,10,gift_card,pending
c879e768-f09d-4256-826f-dea71c610b86,34559f96-0341-5bc2-b1a1-46f8f3afaa86,15,credit_card,pending
1c4ef779-8b36-42a4-a891-095349d3e988,b0018c3e-e65b-5458-ae38-774d499a2f51,20,venmo,pending
7f5118d9-aa5f-46cb-999a-ad99690a376a,46aa7487-3b75-555f-a0e0-03cad1809384,20,venmo,pending
3a24b707-b2f7-47bd-81d1-1b04414d1f58,59fa3c37-b486-5f2d-88f0-619e075c91bd,25,cash,pending
7f4fd9e1-d6af-4cdd-8c7c-4d528b32b575,897d8e7f-bf39-588d-95ee-a3a618cebb54,20,gift_card,pending
7b914e44-a8a7-4454-89b5-03d64cb03602,adc86ac5-4ea3-55b2-bda5-5817f9f5b7e2,40,paypal,pending
30c6629d-b558-488c-b0a5-17413234b6ee,ab7611c9-fa3a-5337-bcff-29e5f5fc1776,25,cash,failed
0b7744be-3c61-47bc-a8c3-314ffe201d7b,9a5e2568-89ba-5652-90c0-e5674fe589fd,15,cash,paid
ece58ba1-c9d5-4769-8121-796254cb54c8,a32d484c-d93e-524a-b36b-aead7fea4908,20,gift_card,pending
d46528f3-bbe7-494f-ab3e-77135c54137f,2c7c3201-d98f-555c-82ce-9acfee5d569f,0,none,void
552fb643-ca2d-4d5a-ad2e-c12bb40435c4,bd4b84b5-0187-538b-8c03-b89f34e15e8c,10,venmo,pending
8d1ef90a-a28c-45a3-95ca-d300afc614c7,e97dda56-8b94-51d7-99e7-8673164f0812,15,cash,pending
db955519-1cda-4443-a5d6-966bd5f31cd1,0a12ca52-522e-59d5-931b-ddd08624f4c5,20,gift_card,paid
fa661e3c-c332-469c-96a1-f44c7301fa65,782be557-067c-589d-8e63-c7135c076e2a,15,cash,pending
8098dca0-b75e-4c86-9042-50bd79378f77,a3d3afd8-3df9-5a71-b3b4-e6c8a42d499b,20,cash,pending
fadd9bc3-c092-4b29-ba0e-c5c285575b11,9d059498-e766-560d-b40c-3c571fd7e742,25,credit_card,failed
df8a20d1-fdb8-4757-8647-23e81f966804,5c3399ca-a7e4-5715-9ebe-52debfb36230,50,cash,pending
f28011af-70da-42a0-ba15-5c1b52916edc,5c302035-3ff4-5a60-9526-4c23fada46c6,0,none,void
a922c54e-c0f8-4286-ba4f-b47377bccf40,f6d5172b-a062-5711-9a18-a6d31d6a85d0,15,gift_card,pending
431f0970-22a4-4285-89ef-6b7af1ab75de,2c9a98a0-6aae-5b5e-9a8b-5f4e622a730d,20,gift_card,pending
1a4c3641-72b4-4910-a448-1d562d3b0943,1d2cb4e4-4f27-51c6-800d-a32e91526b0c,15,venmo,pending
