consent_version_id,study_id,version,effectiveFrom,effectiveTo,hash
19fed0ea-a6ff-4894-a087-eef75b53376f,778509ab-b104-4fb9-ad09-4549d93562a2,1,2023-10-28T00:00:00,2024-03-06T23:59:59,a96c5847a8f4b8e082236b98a7bdfd0b10497744dadd3cd76324e7bf8f8b2d06
188c5f34-4a30-4ecc-b77e-66b0b4236439,778509ab-b104-4fb9-ad09-4549d93562a2,2,2024-03-17T00:00:00,,e6d6daf2323e948a099515cf9ccd25874bb28db7f0ee04740f1329f488079be6
f3316ebe-69d8-4e7d-a10e-6483cc134bb1,e036ab4d-0f09-41db-9f4e-ee0afbb80e64,1,2023-12-25T00:00:00,2024-04-25T23:59:59,2e0b884f4d5dcca03f88c121742a1d5262bac702f09226c9d3f6d1180d850ac3
89c8a685-2bb2-4c1a-b66f-6b3dad31cc9d,e036ab4d-0f09-41db-9f4e-ee0afbb80e64,2,2024-05-05T00:00:00,2024-06-17T23:59:59,5891bc03d76b3c9cb81bfc75856bad4612586b5814f5d0a4f974b49df10d07a7
1aa026ab-cafe-4027-b196-07bb7297fe5a,e036ab4d-0f09-41db-9f4e-ee0afbb80e64,3,2024-06-26T00:00:00,,cddae3a181b45b4e8f9e0f6f005dad9269664a2e60b11a7e6a8ec219bb4d444b
1fd317e0-b926-4b72-ab8c-e8df0473e186,ccb2cd51-0a8f-4150-bb0f-1bca60b73a9a,1,2023-01-11T00:00:00,,35326d6efa5a17505e67c1b0f2fcb4e591075efb5c6c54fd98514c9d8eb1a152
1c1d0b27-0e7e-4e81-9654-94aa73ca80c1,13cefb4c-6ac6-430b-8552-cf8675659f4e,1,2023-12-29T00:00:00,,ba80dfd2532d6edd7e82d56f03459b78884d3b6c38cf89ddb0e8373ec8ade6bb
6b7ece94-cfbc-4aec-9c6a-dbbd8cb6380f,f2491ae5-fbb0-4505-a8ab-dd43cf47d903,1,2021-12-05T00:00:00,,cb6fc00ea63f20f4cd6cba4b5f9ec5634e5981f60c3dbf81536ead33d3f67fff
ed770888-1a3f-4e56-a1ab-c8a0e6ef3f5b,1d74c4ae-ddca-47c9-91d2-eb518aa1607b,1,2022-06-24T00:00:00,,5bc209defc6326bf30ad3af7dfe2dfc1862a2924f7966c8b08ba3218b2d40eec
bd23e9bf-baad-4e60-89b0-c68db6cd30e5,80880d3c-b69a-4ce0-8463-32adb2402fcf,1,2022-08-18T00:00:00,,c774a2436bef48bb9f0698af17be00d19dc34a6ced39d1cca14876b2575b504e
a69052c7-669c-4fe1-903a-d80a09c48e96,e6b67f1a-02e4-4885-a63b-edcbeb631089,1,2023-08-17T00:00:00,,10f57ad44ea4599c9da8ef078549754ac39a87fff64297e26886bc1ed78a260d
310ae9ca-58e6-4ccd-a7a1-28482a22051f,dd79c306-49a1-4332-8a49-f6f94529c920,1,2023-06-08T00:00:00,,76ceae4a67079367d564ba516d2cc18bdc35e112fbd7dcbc1f87918f943aac13
e9de08b6-2048-4a6c-a3cf-2688484f42ad,043beab3-0a1e-49b0-9a8b-d38711d1b534,1,2023-12-01T00:00:00,2024-05-24T23:59:59,952068b3438aecaca933ddb6df03f22cd70cc675119c85c4686cea59dfea5c9d
b0dc2dc2-a544-4eaf-a81f-8452da4cac73,043beab3-0a1e-49b0-9a8b-d38711d1b534,2,2024-05-29T00:00:00,2024-11-17T23:59:59,eb8c1378c2ec68b4a9cb0227b3fad5ad96e6d7dc4f64933b6bc7afb2274e2da2
f4d12114-9031-40e0-a99b-b11ba8737747,043beab3-0a1e-49b0-9a8b-d38711d1b534,3,2024-11-28T00:00:00,,1f3a0392b15cfb702c176a805476cb007a92367a66336ab2121dabdb110ba957
ecb39a22-3c89-4cd2-af77-e56f517bb4be,0b8e1a11-724b-49ca-8bc4-beddac24c26c,1,2022-08-24T00:00:00,2023-03-04T23:59:59,efa7cf1c8caf57c234667a79644816af3b0cd76cdd9ac2a2d2e016a013f8576a
1e8fb168-49ed-4027-ab47-f038d24e9e78,0b8e1a11-724b-49ca-8bc4-beddac24c26c,2,2023-03-08T00:00:00,2023-07-10T23:59:59,96904cc27639f39ab1793c561453c2ae260d91b10257ecc3e5a96b39ff32e7a0
d3549490-6adb-4040-b479-526580127a11,0b8e1a11-724b-49ca-8bc4-beddac24c26c,3,2023-07-12T00:00:00,,c97b86f4abef29142cebd22d436ddea07acd8fef23885333754425e80103c42a
d3e01e97-5ecf-4c7c-99b1-13dd36724e69,c3512fa2-4451-42ba-93a4-a923f485ed63,1,2024-01-29T00:00:00,2024-08-03T23:59:59,9389b8c33b06dfe642d35bdd29f34c051f8754d68a9bd80483f2f60273ac9bc2
1ba46643-f846-4ced-a0ca-d7b197e77e8a,c3512fa2-4451-42ba-93a4-a923f485ed63,2,2024-08-07T00:00:00,2025-01-10T23:59:59,0c81cc5973e61f6ac8746f32ac0d807cd8066e5a19772a16b8e62c58ed7fb6dc
87ec0c81-3441-4917-9342-1f55cca5dce7,c3512fa2-4451-42ba-93a4-a923f485ed63,3,2025-01-21T00:00:00,,c09ee45df6c4b7c4d28b016efb90c3a0ba71b8a9c5dca4da9c5368d088729e49
31239e36-8a2a-4e74-b980-c554cb8d9499,9a0732e6-5905-4c92-9a73-87b0abe2a1d6,1,2022-12-10T00:00:00,2023-06-06T23:59:59,554bda5a11f4c49c13e5189ca75c32061fc0648a2de231d3cc29ac84b7e9dd94
fd3eeccd-1180-4e54-bcc4-753dfd477b8a,9a0732e6-5905-4c92-9a73-87b0abe2a1d6,2,2023-06-14T00:00:00,,8707d0e52bfcf24f36f5996edc8dfed7deed553b9931228b9a019542fc951de0
efc0befd-b33e-413d-bdc3-520605218da9,fbbef8fa-a08d-49f5-8127-f69f65dfb8b4,1,2022-01-07T00:00:00,,1bc61288fc9f1dcbc74559f3482e678f09f482d103b68b8e4a6b63514d583e99
dc7f1745-41c4-43f7-a242-ccef64112261,031eb2e2-026e-4c42-a2d9-6d91bf0232e5,1,2022-08-20T00:00:00,,00f24ca0d4297960a7e495412c0b093e65b9610e59ce97fedeacb3ee63b46146
