participant_id,session_id,status,created_at,updated_at
90bc64e1-a6fa-417e-b33f-1805e315950e,81b36b11-1d96-52b6-9c4c-8362789022e2,enrolled,2025-07-20T05:08:21,2025-08-10T21:15:28
544789f1-2ab2-4ac8-841e-e932254726f5,6e59ca6d-fe24-5651-9216-f7456710e572,enrolled,2025-08-11T19:49:55,2025-09-09T11:48:20
f5eda0e8-d64b-42d8-8bc9-7e3f65c1dbd1,f162bece-fcd8-5f58-bb10-98beb9113035,enrolled,2025-07-18T17:42:48,2025-08-10T07:51:09
c5ff11d6-205d-413f-8478-2fa24d4442c9,255f5229-133e-5d03-8c9a-a72dd5eea60f,enrolled,2025-08-07T20:19:31,2025-09-11T14:32:54
b38a5f76-b63b-433c-8941-273bc84a1b7f,bb64db17-d356-5b25-8c2d-00ea5d74e047,enrolled,2025-08-20T22:50:18,2025-09-03T10:57:14
081249f4-95c8-4c86-82b0-80d20113482a,25a14054-a063-504a-b1df-2864e5af1b31,enrolled,2025-08-23T12:20:28,2025-09-06T00:05:04
c280bbca-964a-4833-a5ae-399f47504e58,90580d81-35e6-5a5d-9f70-bb6fe6b0c8a9,waitlisted,2025-08-23T22:09:39,2025-08-28T21:14:39
983284dc-7dcc-4c48-9e60-21c659e61d0e,8ca85bcd-723e-57c9-a3ea-cfd1a1a01892,enrolled,2025-08-29T23:43:29,2025-09-13T15:25:14
4b04d696-76a9-4b2a-a5e5-0648c8a73b0b,3afe86f8-bfe9-5e2f-b7df-b0d6204ce899,cancelled,2025-08-06T19:15:07,2025-08-12T20:42:05
c7f26f7e-362f-47a9-8ca5-db44d3f99449,a2612768-5a2e-5c75-9f19-31ce8cdf69f3,enrolled,2025-09-19T02:40:06,2025-09-20T23:42:27
d9c4d73a-4976-439b-8131-41b6f6ad1da9,0c9ea0af-f438-5e9a-9740-5bb4b0fdd054,attended,2025-06-27T03:34:30,2025-09-18T11:05:30
2d9af65f-634b-4a8e-81d9-61195c1bfd66,bd995800-a587-56ac-be9e-2efae8c3d9dd,waitlisted,2025-07-26T07:41:31,2025-08-05T03:02:32
e898a369-cb0d-4f51-9040-b020123bad30,8d2df4fa-eb44-5dfa-9616-3afb72cf5453,enrolled,2025-09-06T02:52:14,2025-09-10T01:37:24
b5a16530-1db0-4373-82d8-ad23a694addb,5c302035-3ff4-5a60-9526-4c23fada46c6,enrolled,2025-08-23T11:51:12,2025-08-26T23:02:35
